,id,created_at,gst_amount,usdc_amount
0,466,2022-02-15 07:46:02,497251,1322748
0,467,2022-02-15 07:47:04,497236,1322787
0,468,2022-02-15 07:48:02,497236,1322787
0,469,2022-02-15 07:49:01,497236,1322787
0,470,2022-02-15 07:50:02,497236,1322787
0,471,2022-02-15 07:51:02,497226,1322814
0,472,2022-02-15 07:52:02,497296,1322629
0,473,2022-02-15 07:53:01,497278,1322677
0,474,2022-02-15 07:54:02,497241,1322775
0,475,2022-02-15 07:55:03,496998,1323425
0,476,2022-02-15 07:56:02,496998,1323425
0,477,2022-02-15 07:57:01,496989,1323449
0,478,2022-02-15 07:58:02,496960,1323526
0,479,2022-02-15 07:59:04,496955,1323540
0,480,2022-02-15 08:00:03,496952,1323548
0,481,2022-02-15 08:01:02,496916,1323644
0,482,2022-02-15 08:02:02,496916,1323644
0,483,2022-02-15 08:03:01,496916,1323644
0,484,2022-02-15 08:04:01,496911,1323656
0,485,2022-02-15 08:05:02,496911,1323656
0,486,2022-02-15 08:06:02,496911,1323656
0,487,2022-02-15 08:07:02,496910,1323659
0,488,2022-02-15 08:08:02,496651,1324353
0,489,2022-02-15 08:09:01,496622,1324430
0,490,2022-02-15 08:10:03,496622,1324430
0,491,2022-02-15 08:11:03,496622,1324430
0,492,2022-02-15 08:12:03,496560,1324597
0,493,2022-02-15 08:13:03,496560,1324597
0,494,2022-02-15 08:14:02,496560,1324597
0,495,2022-02-15 08:15:02,496452,1324885
0,496,2022-02-15 08:16:02,496387,1325060
0,497,2022-02-15 08:17:02,496281,1325341
0,498,2022-02-15 08:18:04,496272,1325368
0,499,2022-02-15 08:19:03,496077,1325890
0,500,2022-02-15 08:20:03,496077,1325890
0,501,2022-02-15 08:21:04,496077,1325890
0,502,2022-02-15 08:22:02,496077,1325890
0,503,2022-02-15 08:23:03,496077,1325889
0,504,2022-02-15 08:24:04,496077,1325889
0,505,2022-02-15 08:25:03,496077,1325889
0,506,2022-02-15 08:26:03,496077,1325889
0,507,2022-02-15 08:27:02,496077,1325889
0,508,2022-02-15 08:28:08,496077,1325889
0,509,2022-02-15 08:29:02,496077,1325889
0,510,2022-02-15 08:30:03,496052,1325958
0,511,2022-02-15 08:31:02,496143,1325713
0,512,2022-02-15 08:32:02,496143,1325713
0,513,2022-02-15 08:33:02,496036,1326001
